time,Azimuth:,Pitch:,Roll:
18.933,73.070,-50.421,2.679
18.987,82.029,-49.052,1.842
18.988,70.524,-49.052,1.842
19.047,70.757,-49.376,2.892
19.048,60.146,-49.376,2.892
19.107,74.215,-47.138,3.088
19.108,66.503,-47.138,3.088
19.175,68.165,-46.916,3.243
19.177,59.943,-46.916,3.243
19.227,78.858,-43.723,3.051
19.228,68.817,-43.723,3.051
19.287,64.188,-44.319,2.650
19.288,55.764,-44.319,2.650
19.347,46.037,-45.201,1.032
19.348,40.022,-45.201,1.032
19.410,63.970,-41.603,2.995
19.412,57.418,-41.603,2.995
19.466,60.745,-40.688,2.439
19.466,52.131,-40.688,2.439
19.531,75.782,-36.625,1.784
19.532,64.950,-36.625,1.784
19.590,55.833,-37.250,0.471
19.591,43.531,-37.250,0.471
19.650,54.576,-35.916,1.307
19.651,44.396,-35.916,1.307
19.710,48.986,-34.133,0.305
19.711,37.099,-34.133,0.305
19.770,50.333,-31.869,0.831
19.771,41.934,-31.869,0.831
19.830,37.690,-32.453,0.386
19.832,31.643,-32.453,0.386
19.890,33.552,-31.927,0.489
19.891,30.730,-31.927,0.489
19.951,37.925,-29.915,0.878
19.952,33.433,-29.915,0.878
20.011,27.358,-30.386,-0.341
20.012,25.598,-30.386,-0.341
20.067,34.267,-28.131,0.551
20.068,31.651,-28.131,0.551
20.127,30.048,-28.592,0.408
20.128,28.200,-28.592,0.408
20.188,34.246,-26.302,0.623
20.189,31.942,-26.302,0.623
20.248,30.305,-26.982,0.596
20.248,27.480,-26.982,0.596
20.310,28.247,-26.977,0.811
20.311,26.847,-26.977,0.811
20.370,29.670,-26.661,1.498
20.371,27.162,-26.661,1.498
20.428,24.402,-26.406,0.544
20.429,23.272,-26.406,0.544
20.487,26.343,-25.438,1.031
20.488,26.628,-25.438,1.031
20.549,27.078,-24.805,0.858
20.550,26.203,-24.805,0.858
20.606,24.530,-24.826,0.365
20.607,22.790,-24.826,0.365
20.669,22.592,-23.160,-0.366
20.670,21.082,-23.160,-0.366
20.727,21.435,-23.575,-0.109
20.728,22.014,-23.575,-0.109
20.789,26.101,-23.881,1.296
20.791,25.095,-23.881,1.296
20.850,29.408,-20.588,1.026
20.851,26.603,-20.588,1.026
20.911,23.950,-20.930,0.404
20.912,22.500,-20.930,0.404
20.967,28.613,-21.868,2.816
20.967,27.930,-21.868,2.816
21.027,25.483,-19.814,1.033
21.028,22.075,-19.814,1.033
21.086,23.956,-20.469,1.894
21.087,21.803,-20.469,1.894
21.147,20.545,-17.607,0.453
21.148,20.680,-17.607,0.453
21.206,21.132,-18.183,0.798
21.207,19.763,-18.183,0.798
21.267,20.078,-17.990,0.833
21.268,19.118,-17.990,0.833
21.327,18.653,-16.388,0.166
21.328,18.886,-16.388,0.166
21.387,17.464,-16.836,-0.141
21.388,16.774,-16.836,-0.141
21.450,18.236,-16.700,0.301
21.451,18.280,-16.700,0.301
21.510,18.010,-13.742,-0.705
21.511,18.350,-13.742,-0.705
21.570,20.155,-14.378,0.072
21.571,20.174,-14.378,0.072
21.629,21.918,-15.189,0.975
21.632,21.300,-15.189,0.975
21.687,21.098,-14.482,0.644
21.688,19.410,-14.482,0.644
21.750,20.556,-11.918,0.164
21.751,19.872,-11.918,0.164
21.807,21.970,-11.468,0.706
21.808,19.304,-11.468,0.706
21.867,18.303,-10.842,0.168
21.868,14.757,-10.842,0.168
21.930,13.975,-10.968,-0.065
21.931,12.310,-10.968,-0.065
21.991,13.228,-8.720,-0.246
21.992,10.751,-8.720,-0.246
22.051,9.625,-9.875,-0.430
22.052,7.542,-9.875,-0.430
22.110,8.317,-9.226,-0.237
22.111,6.325,-9.226,-0.237
22.170,12.350,-9.949,2.181
22.171,11.902,-9.949,2.181
22.230,9.958,-8.479,1.144
22.231,8.861,-8.479,1.144
22.290,7.941,-7.301,0.624
22.291,6.980,-7.301,0.624
22.350,8.458,-7.163,1.170
22.351,8.238,-7.163,1.170
22.410,7.052,-6.785,0.659
22.411,6.874,-6.785,0.659
22.467,9.560,-5.258,1.485
22.468,7.693,-5.258,1.485
22.530,3.767,-4.944,-0.042
22.532,3.607,-4.944,-0.042
22.590,6.530,-5.762,1.184
22.591,5.665,-5.762,1.184
22.650,2.708,-4.102,-0.117
22.651,2.566,-4.102,-0.117
22.711,6.163,-4.639,1.389
22.712,5.926,-4.639,1.389
22.771,3.140,-3.651,0.136
22.772,3.752,-3.651,0.136
22.827,7.505,-5.014,1.922
22.828,6.712,-5.014,1.922
22.885,3.731,-2.555,0.388
22.885,3.689,-2.555,0.388
22.953,3.682,-2.835,0.402
22.955,2.924,-2.835,0.402
23.007,4.617,-3.713,1.218
23.008,4.535,-3.713,1.218
23.068,3.769,-2.425,0.777
23.069,3.069,-2.425,0.777
23.127,2.282,-2.935,0.445
23.128,2.883,-2.935,0.445
23.187,4.035,-3.453,1.024
23.188,3.347,-3.453,1.024
23.247,4.292,-3.578,1.498
23.247,4.206,-3.578,1.498
23.306,1.486,-2.492,0.096
23.307,1.487,-2.492,0.096
23.369,2.132,-2.951,0.425
23.370,2.129,-2.951,0.425
23.431,1.729,-2.474,0.213
23.432,0.441,-2.474,0.213
23.491,2.657,-3.997,1.353
23.492,3.256,-3.997,1.353
23.547,1.728,-3.153,0.546
23.547,1.104,-3.153,0.546
23.607,0.399,-2.828,0.195
23.608,1.037,-2.828,0.195
23.667,1.568,-2.647,0.448
23.667,2.207,-2.647,0.448
23.726,3.268,-12.549,1.489
23.727,3.752,-12.549,1.489
23.785,6.200,-4.405,2.257
23.785,6.255,-4.405,2.257
